OrderID;CusomerID;EmployeeID;OrderDate;RequiredDate;ShippedDate;ShipVia;Freight;ShipName;ShipAddress;ShipCity;ShipRegion;ShipPostalCode;ShipCountry
10258;20;1;1996-07-17 13:07:00.0000000;1996-08-14 00:00:00.0000000;1996-07-23 00:00:00.0000000;1;140.51;Ernst Handel;Kirchgasse 6;Graz;NULL;8010;Austria
10259;13;4;1996-07-18 09:31:00.0000000;1996-08-15 00:00:00.0000000;1996-07-25 00:00:00.0000000;3;3.25;Centro comercial Moctezuma;Sierras de Granada 9993;México D.F.;NULL;05022;Mexico
10260;58;4;1996-07-19 15:34:00.0000000;1996-08-16 00:00:00.0000000;1996-07-29 00:00:00.0000000;1;55.09;Ottilies Käseladen;Mehrheimerstr. 369;Köln;NULL;50739;Germany
10261;63;4;1996-07-19 15:41:00.0000000;1996-08-16 00:00:00.0000000;1996-07-30 00:00:00.0000000;2;3.05;Que Delícia;Rua da Panificadora, 12;Rio de Janeiro;RJ;02389-673;Brazil
10262;67;8;1996-07-22 10:52:00.0000000;1996-08-19 00:00:00.0000000;1996-07-25 00:00:00.0000000;3;48.29;Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;USA
10263;20;9;1996-07-23 15:40:00.0000000;1996-08-20 00:00:00.0000000;1996-07-31 00:00:00.0000000;3;146.06;Ernst Handel;Kirchgasse 6;Graz;NULL;8010;Austria
10264;24;6;1996-07-24 11:07:00.0000000;1996-08-21 00:00:00.0000000;1996-08-23 00:00:00.0000000;3;3.67;Folk och fä HB;Åkergatan 24;Bräcke;NULL;S-844 67;Sweden
10265;7;2;1996-07-25 15:44:00.0000000;1996-08-22 00:00:00.0000000;1996-08-12 00:00:00.0000000;1;55.28;Blondel père et fils;24, place Kléber;Strasbourg;NULL;67000;France
10266;89;3;1996-07-26 08:05:00.0000000;1996-09-06 00:00:00.0000000;1996-07-31 00:00:00.0000000;3;25.73;Wartian Herkku;Torikatu 38;Oulu;NULL;90110;Finland
10267;25;4;1996-07-29 10:54:00.0000000;1996-08-26 00:00:00.0000000;1996-08-06 00:00:00.0000000;1;208.58;Frankenversand;Berliner Platz 43;München;NULL;80805;Germany
10268;33;8;1996-07-30 08:54:00.0000000;1996-08-27 00:00:00.0000000;1996-08-02 00:00:00.0000000;3;66.29;GROSELLA-Restaurante;5ª Ave. Los Palos Grandes;Caracas;DF;1081;Venezuela
10269;91;5;1996-07-31 08:41:00.0000000;1996-08-14 00:00:00.0000000;1996-08-09 00:00:00.0000000;1;4.56;White Clover Markets;1029 - 12th Ave. S.;Seattle;WA;98124;USA
10270;89;1;1996-08-01 15:34:00.0000000;1996-08-29 00:00:00.0000000;1996-08-02 00:00:00.0000000;1;136.54;Wartian Herkku;Torikatu 38;Oulu;NULL;90110;Finland
10271;77;6;1996-08-01 15:36:00.0000000;1996-08-29 00:00:00.0000000;1996-08-30 00:00:00.0000000;2;4.54;Split Rail Beer & Ale;P.O. Box 555;Lander;WY;82520;USA
10272;67;6;1996-08-02 15:47:00.0000000;1996-08-30 00:00:00.0000000;1996-08-06 00:00:00.0000000;2;98.03;Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;USA
10273;65;3;1996-08-05 14:52:00.0000000;1996-09-02 00:00:00.0000000;1996-08-12 00:00:00.0000000;3;76.07;QUICK-Stop;Taucherstraße 10;Cunewalde;NULL;01307;Germany
10274;87;6;1996-08-06 13:33:00.0000000;1996-09-03 00:00:00.0000000;1996-08-16 00:00:00.0000000;1;6.01;Vins et alcools Chevalier;59 rue de l'Abbaye;Reims;NULL;51100;France
10275;50;1;1996-08-07 15:49:00.0000000;1996-09-04 00:00:00.0000000;1996-08-09 00:00:00.0000000;1;26.93;Magazzini Alimentari Riuniti;Via Ludovico il Moro 22;Bergamo;NULL;24100;Italy
10276;82;8;1996-08-08 10:49:00.0000000;1996-08-22 00:00:00.0000000;1996-08-14 00:00:00.0000000;3;13.84;Tortuga Restaurante;Avda. Azteca 123;México D.F.;NULL;05033;Mexico
10277;53;2;1996-08-09 09:56:00.0000000;1996-09-06 00:00:00.0000000;1996-08-13 00:00:00.0000000;3;125.77;Morgenstern Gesundkost;Heerstr. 22;Leipzig;NULL;04179;Germany
10278;5;8;1996-08-12 14:34:00.0000000;1996-09-09 00:00:00.0000000;1996-08-16 00:00:00.0000000;2;92.69;Berglunds snabbköp;Berguvsvägen  8;Luleå;NULL;S-958 22;Sweden
10279;44;8;1996-08-13 15:48:00.0000000;1996-09-10 00:00:00.0000000;1996-08-16 00:00:00.0000000;2;25.83;Lehmanns Marktstand;Magazinweg 7;Frankfurt a.M.;NULL;60528;Germany
10280;5;2;1996-08-14 09:23:00.0000000;1996-09-11 00:00:00.0000000;1996-09-12 00:00:00.0000000;1;8.98;Berglunds snabbköp;Berguvsvägen  8;Luleå;NULL;S-958 22;Sweden
10281;71;4;1996-08-14 09:42:00.0000000;1996-08-28 00:00:00.0000000;1996-08-21 00:00:00.0000000;1;2.94;Romero y tomillo;Gran Vía, 1;Madrid;NULL;28001;Spain
10282;71;4;1996-08-15 11:56:00.0000000;1996-09-12 00:00:00.0000000;1996-08-21 00:00:00.0000000;1;12.69;Romero y tomillo;Gran Vía, 1;Madrid;NULL;28001;Spain
10283;46;3;1996-08-16 16:39:00.0000000;1996-09-13 00:00:00.0000000;1996-08-23 00:00:00.0000000;3;84.81;LILA-Supermercado;Carrera 52 con Ave. Bolívar #65-98 Llano Largo;Barquisimeto;Lara;3508;Venezuela
10284;44;4;1996-08-19 11:33:00.0000000;1996-09-16 00:00:00.0000000;1996-08-27 00:00:00.0000000;1;76.56;Lehmanns Marktstand;Magazinweg 7;Frankfurt a.M.;NULL;60528;Germany
10285;65;1;1996-08-20 09:26:00.0000000;1996-09-17 00:00:00.0000000;1996-08-26 00:00:00.0000000;2;76.83;QUICK-Stop;Taucherstraße 10;Cunewalde;NULL;01307;Germany
10286;65;8;1996-08-21 09:33:00.0000000;1996-09-18 00:00:00.0000000;1996-08-30 00:00:00.0000000;3;229.24;QUICK-Stop;Taucherstraße 10;Cunewalde;NULL;01307;Germany
10287;69;8;1996-08-22 11:42:00.0000000;1996-09-19 00:00:00.0000000;1996-08-28 00:00:00.0000000;3;12.76;Ricardo Adocicados;Av. Copacabana, 267;Rio de Janeiro;RJ;02389-890;Brazil
10288;68;4;1996-08-23 11:50:00.0000000;1996-09-20 00:00:00.0000000;1996-09-03 00:00:00.0000000;1;7.45;Reggiani Caseifici;Strada Provinciale 124;Reggio Emilia;NULL;42100;Italy
10289;11;7;1996-08-26 11:28:00.0000000;1996-09-23 00:00:00.0000000;1996-08-28 00:00:00.0000000;3;22.77;B's Beverages;Fauntleroy Circus;London;NULL;EC2 5NT;UK
10290;15;8;1996-08-27 16:39:00.0000000;1996-09-24 00:00:00.0000000;1996-09-03 00:00:00.0000000;1;79.70;Comércio Mineiro;Av. dos Lusíadas, 23;Sao Paulo;SP;05432-043;Brazil
10291;63;6;1996-08-27 16:47:00.0000000;1996-09-24 00:00:00.0000000;1996-09-04 00:00:00.0000000;2;6.40;Que Delícia;Rua da Panificadora, 12;Rio de Janeiro;RJ;02389-673;Brazil
10292;83;1;1996-08-28 10:04:00.0000000;1996-09-25 00:00:00.0000000;1996-09-02 00:00:00.0000000;2;1.35;Tradiçao Hipermercados;Av. Inês de Castro, 414;Sao Paulo;SP;05634-030;Brazil
10293;82;1;1996-08-29 16:05:00.0000000;1996-09-26 00:00:00.0000000;1996-09-11 00:00:00.0000000;3;21.18;Tortuga Restaurante;Avda. Azteca 123;México D.F.;NULL;05033;Mexico
10294;67;4;1996-08-30 14:06:00.0000000;1996-09-27 00:00:00.0000000;1996-09-05 00:00:00.0000000;2;147.26;Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;USA
10295;87;2;1996-09-02 13:21:00.0000000;1996-09-30 00:00:00.0000000;1996-09-10 00:00:00.0000000;2;1.15;Vins et alcools Chevalier;59 rue de l'Abbaye;Reims;NULL;51100;France
10296;46;6;1996-09-03 15:39:00.0000000;1996-10-01 00:00:00.0000000;1996-09-11 00:00:00.0000000;1;0.12;LILA-Supermercado;Carrera 52 con Ave. Bolívar #65-98 Llano Largo;Barquisimeto;Lara;3508;Venezuela
10297;7;5;1996-09-04 14:32:00.0000000;1996-10-16 00:00:00.0000000;1996-09-10 00:00:00.0000000;2;5.74;Blondel père et fils;24, place Kléber;Strasbourg;NULL;67000;France
10298;37;6;1996-09-05 08:29:00.0000000;1996-10-03 00:00:00.0000000;1996-09-11 00:00:00.0000000;2;168.22;Hungry Owl All-Night Grocers;8 Johnstown Road;Cork;Co. Cork;NULL;Ireland
10299;69;4;1996-09-06 11:36:00.0000000;1996-10-04 00:00:00.0000000;1996-09-13 00:00:00.0000000;2;29.76;Ricardo Adocicados;Av. Copacabana, 267;Rio de Janeiro;RJ;02389-890;Brazil
10300;50;2;1996-09-09 10:34:00.0000000;1996-10-07 00:00:00.0000000;1996-09-18 00:00:00.0000000;2;17.68;Magazzini Alimentari Riuniti;Via Ludovico il Moro 22;Bergamo;NULL;24100;Italy
10301;88;8;1996-09-09 10:37:00.0000000;1996-10-07 00:00:00.0000000;1996-09-17 00:00:00.0000000;2;45.08;Die Wandernde Kuh;Adenauerallee 900;Stuttgart;NULL;70563;Germany
10302;78;4;1996-09-10 11:04:00.0000000;1996-10-08 00:00:00.0000000;1996-10-09 00:00:00.0000000;2;6.27;Suprêmes délices;Boulevard Tirou, 255;Charleroi;NULL;B-6000;Belgium
10303;30;7;1996-09-11 12:42:00.0000000;1996-10-09 00:00:00.0000000;1996-09-18 00:00:00.0000000;2;107.83;Godos Cocina Típica;C/ Romero, 33;Sevilla;NULL;41101;Spain
10304;82;1;1996-09-12 09:52:00.0000000;1996-10-10 00:00:00.0000000;1996-09-17 00:00:00.0000000;2;63.79;Tortuga Restaurante;Avda. Azteca 123;México D.F.;NULL;05033;Mexico
10305;57;8;1996-09-13 16:08:00.0000000;1996-10-11 00:00:00.0000000;1996-10-09 00:00:00.0000000;3;257.62;Old World Delicatessen;2743 Bering St.;Anchorage;AK;99508;USA
10306;71;1;1996-09-16 08:37:00.0000000;1996-10-14 00:00:00.0000000;1996-09-23 00:00:00.0000000;3;7.56;Romero y tomillo;Gran Vía, 1;Madrid;NULL;28001;Spain
10307;48;2;1996-09-17 09:17:00.0000000;1996-10-15 00:00:00.0000000;1996-09-25 00:00:00.0000000;2;0.56;Lonesome Pine Restaurant;89 Chiaroscuro Rd.;Portland;OR;97219;USA
10308;2;7;1996-09-18 09:51:00.0000000;1996-10-16 00:00:00.0000000;1996-09-24 00:00:00.0000000;3;1.61;Ana Trujillo Emparedados y helados;Avda. de la Constitución 2222;México D.F.;NULL;05021;Mexico
10309;37;3;1996-09-19 16:44:00.0000000;1996-10-17 00:00:00.0000000;1996-10-23 00:00:00.0000000;1;47.30;Hungry Owl All-Night Grocers;8 Johnstown Road;Cork;Co. Cork;NULL;Ireland
10310;79;8;1996-09-20 13:04:00.0000000;1996-10-18 00:00:00.0000000;1996-09-27 00:00:00.0000000;2;17.52;The Big Cheese;89 Jefferson Way Suite 2;Portland;OR;97201;USA
10311;18;1;1996-09-20 13:22:00.0000000;1996-10-04 00:00:00.0000000;1996-09-26 00:00:00.0000000;3;24.69;Du monde entier;67, rue des Cinquante Otages;Nantes;NULL;44000;France
10312;88;2;1996-09-23 13:54:00.0000000;1996-10-21 00:00:00.0000000;1996-10-03 00:00:00.0000000;2;40.26;Die Wandernde Kuh;Adenauerallee 900;Stuttgart;NULL;70563;Germany
10313;65;2;1996-09-24 09:58:00.0000000;1996-10-22 00:00:00.0000000;1996-10-04 00:00:00.0000000;2;1.96;QUICK-Stop;Taucherstraße 10;Cunewalde;NULL;01307;Germany
10314;67;1;1996-09-25 09:57:00.0000000;1996-10-23 00:00:00.0000000;1996-10-04 00:00:00.0000000;2;74.16;Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;USA
10315;38;4;1996-09-26 16:18:00.0000000;1996-10-24 00:00:00.0000000;1996-10-03 00:00:00.0000000;2;41.76;Island Trading;Garden House Crowther Way;Cowes;Isle of Wight;PO31 7PJ;UK
10316;67;1;1996-09-27 10:40:00.0000000;1996-10-25 00:00:00.0000000;1996-10-08 00:00:00.0000000;3;150.15;Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;USA
10317;48;6;1996-09-30 11:09:00.0000000;1996-10-28 00:00:00.0000000;1996-10-10 00:00:00.0000000;1;12.69;Lonesome Pine Restaurant;89 Chiaroscuro Rd.;Portland;OR;97219;USA
10318;38;8;1996-10-01 10:22:00.0000000;1996-10-29 00:00:00.0000000;1996-10-04 00:00:00.0000000;2;4.73;Island Trading;Garden House Crowther Way;Cowes;Isle of Wight;PO31 7PJ;UK
10319;82;7;1996-10-02 09:20:00.0000000;1996-10-30 00:00:00.0000000;1996-10-11 00:00:00.0000000;3;64.50;Tortuga Restaurante;Avda. Azteca 123;México D.F.;NULL;05033;Mexico
10320;89;5;1996-10-03 11:50:00.0000000;1996-10-17 00:00:00.0000000;1996-10-18 00:00:00.0000000;3;34.57;Wartian Herkku;Torikatu 38;Oulu;NULL;90110;Finland
10321;38;3;1996-10-03 12:03:00.0000000;1996-10-31 00:00:00.0000000;1996-10-11 00:00:00.0000000;2;3.43;Island Trading;Garden House Crowther Way;Cowes;Isle of Wight;PO31 7PJ;UK
10322;60;7;1996-10-04 10:57:00.0000000;1996-11-01 00:00:00.0000000;1996-10-23 00:00:00.0000000;3;0.40;Pericles Comidas clásicas;Calle Dr. Jorge Cash 321;México D.F.;NULL;05033;Mexico
10323;39;4;1996-10-07 12:12:00.0000000;1996-11-04 00:00:00.0000000;1996-10-14 00:00:00.0000000;1;4.88;Königlich Essen;Maubelstr. 90;Brandenburg;NULL;14776;Germany
10324;73;9;1996-10-08 14:06:00.0000000;1996-11-05 00:00:00.0000000;1996-10-10 00:00:00.0000000;1;214.27;Save-a-lot Markets;187 Suffolk Ln.;Boise;ID;83720;USA
10325;39;1;1996-10-09 09:19:00.0000000;1996-10-23 00:00:00.0000000;1996-10-14 00:00:00.0000000;3;64.86;Königlich Essen;Maubelstr. 90;Brandenburg;NULL;14776;Germany
10326;8;4;1996-10-10 13:51:00.0000000;1996-11-07 00:00:00.0000000;1996-10-14 00:00:00.0000000;2;77.92;Bólido Comidas preparadas;C/ Araquil, 67;Madrid;NULL;28023;Spain
10327;24;2;1996-10-11 08:52:00.0000000;1996-11-08 00:00:00.0000000;1996-10-14 00:00:00.0000000;1;63.36;Folk och fä HB;Åkergatan 24;Bräcke;NULL;S-844 67;Sweden
10328;28;4;1996-10-14 14:13:00.0000000;1996-11-11 00:00:00.0000000;1996-10-17 00:00:00.0000000;3;87.03;Furia Bacalhau e Frutos do Mar;Jardim das rosas n. 32;Lisboa;NULL;1675;Portugal
10329;77;4;1996-10-15 15:24:00.0000000;1996-11-26 00:00:00.0000000;1996-10-23 00:00:00.0000000;2;191.67;Split Rail Beer & Ale;P.O. Box 555;Lander;WY;82520;USA
10330;46;3;1996-10-16 08:40:00.0000000;1996-11-13 00:00:00.0000000;1996-10-28 00:00:00.0000000;1;12.75;LILA-Supermercado;Carrera 52 con Ave. Bolívar #65-98 Llano Largo;Barquisimeto;Lara;3508;Venezuela
10331;9;9;1996-10-16 08:47:00.0000000;1996-11-27 00:00:00.0000000;1996-10-21 00:00:00.0000000;1;10.19;Bon app';12, rue des Bouchers;Marseille;NULL;13008;France
10332;52;3;1996-10-17 14:44:00.0000000;1996-11-28 00:00:00.0000000;1996-10-21 00:00:00.0000000;2;52.84;Mère Paillarde;43 rue St. Laurent;Montréal;Québec;H1J 1C3;Canada
10333;89;5;1996-10-18 11:45:00.0000000;1996-11-15 00:00:00.0000000;1996-10-25 00:00:00.0000000;3;0.59;Wartian Herkku;Torikatu 38;Oulu;NULL;90110;Finland
10334;86;8;1996-10-21 08:46:00.0000000;1996-11-18 00:00:00.0000000;1996-10-28 00:00:00.0000000;2;8.56;Victuailles en stock;2, rue du Commerce;Lyon;NULL;69004;France
10335;37;7;1996-10-22 10:10:00.0000000;1996-11-19 00:00:00.0000000;1996-10-24 00:00:00.0000000;2;42.11;Hungry Owl All-Night Grocers;8 Johnstown Road;Cork;Co. Cork;NULL;Ireland
10336;62;7;1996-10-23 12:47:00.0000000;1996-11-20 00:00:00.0000000;1996-10-25 00:00:00.0000000;2;15.51;Princesa Isabel Vinhos;Estrada da saúde n. 58;Lisboa;NULL;1756;Portugal
10337;25;4;1996-10-24 16:25:00.0000000;1996-11-21 00:00:00.0000000;1996-10-29 00:00:00.0000000;3;108.26;Frankenversand;Berliner Platz 43;München;NULL;80805;Germany
10338;57;4;1996-10-25 11:18:00.0000000;1996-11-22 00:00:00.0000000;1996-10-29 00:00:00.0000000;3;84.21;Old World Delicatessen;2743 Bering St.;Anchorage;AK;99508;USA
10339;52;2;1996-10-28 15:01:00.0000000;1996-11-25 00:00:00.0000000;1996-11-04 00:00:00.0000000;2;15.66;Mère Paillarde;43 rue St. Laurent;Montréal;Québec;H1J 1C3;Canada
10340;9;1;1996-10-29 15:33:00.0000000;1996-11-26 00:00:00.0000000;1996-11-08 00:00:00.0000000;3;166.31;Bon app';12, rue des Bouchers;Marseille;NULL;13008;France
10341;75;7;1996-10-29 15:34:00.0000000;1996-11-26 00:00:00.0000000;1996-11-05 00:00:00.0000000;3;26.78;Simons bistro;Vinbæltet 34;Kobenhavn;NULL;1734;Denmark
10342;25;4;1996-10-30 10:09:00.0000000;1996-11-13 00:00:00.0000000;1996-11-04 00:00:00.0000000;2;54.83;Frankenversand;Berliner Platz 43;München;NULL;80805;Germany
10343;44;4;1996-10-31 15:09:00.0000000;1996-11-28 00:00:00.0000000;1996-11-06 00:00:00.0000000;1;110.37;Lehmanns Marktstand;Magazinweg 7;Frankfurt a.M.;NULL;60528;Germany
10344;91;4;1996-11-01 13:37:00.0000000;1996-11-29 00:00:00.0000000;1996-11-05 00:00:00.0000000;2;23.29;White Clover Markets;1029 - 12th Ave. S.;Seattle;WA;98124;USA
10345;65;2;1996-11-04 14:43:00.0000000;1996-12-02 00:00:00.0000000;1996-11-11 00:00:00.0000000;2;249.06;QUICK-Stop;Taucherstraße 10;Cunewalde;NULL;01307;Germany
10346;67;3;1996-11-05 09:59:00.0000000;1996-12-17 00:00:00.0000000;1996-11-08 00:00:00.0000000;3;142.08;Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;USA
10347;21;4;1996-11-06 15:58:00.0000000;1996-12-04 00:00:00.0000000;1996-11-08 00:00:00.0000000;3;3.10;Familia Arquibaldo;Rua Orós, 92;Sao Paulo;SP;05442-030;Brazil
10348;88;4;1996-11-07 16:15:00.0000000;1996-12-05 00:00:00.0000000;1996-11-15 00:00:00.0000000;2;0.78;Die Wandernde Kuh;Adenauerallee 900;Stuttgart;NULL;70563;Germany
10349;77;7;1996-11-08 11:15:00.0000000;1996-12-06 00:00:00.0000000;1996-11-15 00:00:00.0000000;1;8.63;Split Rail Beer & Ale;P.O. Box 555;Lander;WY;82520;USA
10350;41;6;1996-11-11 10:22:00.0000000;1996-12-09 00:00:00.0000000;1996-12-03 00:00:00.0000000;2;64.19;La maison d'Asie;1 rue Alsace-Lorraine;Toulouse;NULL;31000;France
10351;20;1;1996-11-11 10:22:00.0000000;1996-12-09 00:00:00.0000000;1996-11-20 00:00:00.0000000;1;162.33;Ernst Handel;Kirchgasse 6;Graz;NULL;8010;Austria
10352;28;3;1996-11-12 16:43:00.0000000;1996-11-26 00:00:00.0000000;1996-11-18 00:00:00.0000000;3;1.30;Furia Bacalhau e Frutos do Mar;Jardim das rosas n. 32;Lisboa;NULL;1675;Portugal
10353;61;7;1996-11-13 13:47:00.0000000;1996-12-11 00:00:00.0000000;1996-11-25 00:00:00.0000000;3;360.63;Piccolo und mehr;Geislweg 14;Salzburg;NULL;5020;Austria
10354;60;8;1996-11-14 15:22:00.0000000;1996-12-12 00:00:00.0000000;1996-11-20 00:00:00.0000000;3;53.80;Pericles Comidas clásicas;Calle Dr. Jorge Cash 321;México D.F.;NULL;05033;Mexico
10355;4;6;1996-11-15 10:29:00.0000000;1996-12-13 00:00:00.0000000;1996-11-20 00:00:00.0000000;1;41.95;Around the Horn;Brook Farm Stratford St. Mary;Colchester;Essex;CO7 6JX;UK
10356;88;6;1996-11-18 14:27:00.0000000;1996-12-16 00:00:00.0000000;1996-11-27 00:00:00.0000000;2;36.71;Die Wandernde Kuh;Adenauerallee 900;Stuttgart;NULL;70563;Germany
10357;46;1;1996-11-19 16:09:00.0000000;1996-12-17 00:00:00.0000000;1996-12-02 00:00:00.0000000;3;34.88;LILA-Supermercado;Carrera 52 con Ave. Bolívar #65-98 Llano Largo;Barquisimeto;Lara;3508;Venezuela
10358;41;5;1996-11-20 13:59:00.0000000;1996-12-18 00:00:00.0000000;1996-11-27 00:00:00.0000000;1;19.64;La maison d'Asie;1 rue Alsace-Lorraine;Toulouse;NULL;31000;France
10359;74;5;1996-11-21 15:12:00.0000000;1996-12-19 00:00:00.0000000;1996-11-26 00:00:00.0000000;3;288.43;Seven Seas Imports;90 Wadhurst Rd.;London;NULL;OX15 4NB;UK
10360;7;4;1996-11-22 15:06:00.0000000;1996-12-20 00:00:00.0000000;1996-12-02 00:00:00.0000000;3;131.70;Blondel père et fils;24, place Kléber;Strasbourg;NULL;67000;France
10361;65;1;1996-11-22 15:14:00.0000000;1996-12-20 00:00:00.0000000;1996-12-03 00:00:00.0000000;2;183.17;QUICK-Stop;Taucherstraße 10;Cunewalde;NULL;01307;Germany
10362;9;3;1996-11-25 11:04:00.0000000;1996-12-23 00:00:00.0000000;1996-11-28 00:00:00.0000000;1;96.04;Bon app';12, rue des Bouchers;Marseille;NULL;13008;France
10363;17;4;1996-11-26 12:18:00.0000000;1996-12-24 00:00:00.0000000;1996-12-04 00:00:00.0000000;3;30.54;Drachenblut Delikatessen;Walserweg 21;Aachen;NULL;52066;Germany
10364;19;1;1996-11-26 12:30:00.0000000;1997-01-07 00:00:00.0000000;1996-12-04 00:00:00.0000000;1;71.97;Eastern Connection;35 King George;London;NULL;WX3 6FW;UK
10365;3;3;1996-11-27 09:51:00.0000000;1996-12-25 00:00:00.0000000;1996-12-02 00:00:00.0000000;2;22.00;Antonio Moreno Taquería;Mataderos  2312;México D.F.;NULL;05023;Mexico
10366;29;8;1996-11-28 08:27:00.0000000;1997-01-09 00:00:00.0000000;1996-12-30 00:00:00.0000000;2;10.14;Galería del gastronómo;Rambla de Cataluña, 23;Barcelona;NULL;8022;Spain
10367;85;7;1996-11-28 08:40:00.0000000;1996-12-26 00:00:00.0000000;1996-12-02 00:00:00.0000000;3;13.55;Vaffeljernet;Smagsloget 45;Århus;NULL;8200;Denmark
10368;20;2;1996-11-29 12:27:00.0000000;1996-12-27 00:00:00.0000000;1996-12-02 00:00:00.0000000;2;101.95;Ernst Handel;Kirchgasse 6;Graz;NULL;8010;Austria
10369;77;8;1996-12-02 13:32:00.0000000;1996-12-30 00:00:00.0000000;1996-12-09 00:00:00.0000000;2;195.68;Split Rail Beer & Ale;P.O. Box 555;Lander;WY;82520;USA
10370;14;6;1996-12-03 11:50:00.0000000;1996-12-31 00:00:00.0000000;1996-12-27 00:00:00.0000000;2;1.17;Chop-suey Chinese;Hauptstr. 31;Bern;NULL;3012;Switzerland
10371;41;1;1996-12-03 12:06:00.0000000;1996-12-31 00:00:00.0000000;1996-12-24 00:00:00.0000000;1;0.45;La maison d'Asie;1 rue Alsace-Lorraine;Toulouse;NULL;31000;France
10372;64;5;1996-12-04 10:12:00.0000000;1997-01-01 00:00:00.0000000;1996-12-09 00:00:00.0000000;2;890.78;Queen Cozinha;Alameda dos Canàrios, 891;Sao Paulo;SP;05487-020;Brazil
10373;37;4;1996-12-05 13:19:00.0000000;1997-01-02 00:00:00.0000000;1996-12-11 00:00:00.0000000;3;124.12;Hungry Owl All-Night Grocers;8 Johnstown Road;Cork;Co. Cork;NULL;Ireland
10374;93;1;1996-12-05 13:38:00.0000000;1997-01-02 00:00:00.0000000;1996-12-09 00:00:00.0000000;3;3.94;Wolski Zajazd;ul. Filtrowa 68;Warszawa;NULL;01-012;Poland
10375;36;3;1996-12-06 08:27:00.0000000;1997-01-03 00:00:00.0000000;1996-12-09 00:00:00.0000000;2;20.12;Hungry Coyote Import Store;City Center Plaza 516 Main St.;Elgin;OR;97827;USA
10376;52;1;1996-12-09 13:22:00.0000000;1997-01-06 00:00:00.0000000;1996-12-13 00:00:00.0000000;2;20.39;Mère Paillarde;43 rue St. Laurent;Montréal;Québec;H1J 1C3;Canada
10377;74;1;1996-12-09 13:33:00.0000000;1997-01-06 00:00:00.0000000;1996-12-13 00:00:00.0000000;3;22.21;Seven Seas Imports;90 Wadhurst Rd.;London;NULL;OX15 4NB;UK
10378;24;5;1996-12-10 12:26:00.0000000;1997-01-07 00:00:00.0000000;1996-12-19 00:00:00.0000000;3;5.44;Folk och fä HB;Åkergatan 24;Bräcke;NULL;S-844 67;Sweden
10379;63;2;1996-12-11 09:10:00.0000000;1997-01-08 00:00:00.0000000;1996-12-13 00:00:00.0000000;1;45.03;Que Delícia;Rua da Panificadora, 12;Rio de Janeiro;RJ;02389-673;Brazil
